entity,entity_type,metric,value,period,source
ICBC,standalone,Top 5 Non-Bank Credit Exposures,217.5,2018-Q4,rbnz-dashboard
ICBC,standalone,Top 5 Bank Credit Exposures,129,2018-Q4,rbnz-dashboard
ICBC,standalone,Bank Exposures ≥10% of CET1,6,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Total Capital Ratio,15.3,2018-Q4,rbnz-dashboard
Kiwibank,standalone,CET1 Ratio,13,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Tier 1 Capital Ratio,14.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Total Risk-Weighted Assets,11081.9,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Total Non-Performing Loans,19,2018-Q4,rbnz-dashboard
Kiwibank,standalone,NPL Ratio,0.1,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Individual Provisions,4.7,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Collective Provisions,31.5,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Return on Assets,0.6,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Return on Equity,8,2018-Q4,rbnz-dashboard
Kiwibank,standalone,NIM,2.1,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Net Interest Income,111.1,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Trading and Hedging Gains,0.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Fees and Commission Income,37.9,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Other Income,10.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Operating Expenses,114.6,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Profit After Tax,30.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Total Assets,22039.9,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Cash Position,712.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Net Loans and Advances,19391.3,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Deposits,17430,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Equity,1527.6,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Core Funding Ratio (CFR),89.5,2018-Q4,rbnz-dashboard
Kiwibank,standalone,1-Month Mismatch Ratio,8.3,2018-Q4,rbnz-dashboard
Kiwibank,standalone,1-Week Mismatch Ratio,8,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Top 5 Non-Bank Credit Exposures,7.9,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Top 5 Bank Credit Exposures,44.4,2018-Q4,rbnz-dashboard
Kiwibank,standalone,Bank Exposures ≥10% of CET1,2,2018-Q4,rbnz-dashboard
Rabo Group,group,Total Capital Ratio,,2018-Q4,rbnz-dashboard
Rabo Group,group,CET1 Ratio,,2018-Q4,rbnz-dashboard
Rabo Group,group,Tier 1 Capital Ratio,,2018-Q4,rbnz-dashboard
Rabo Group,group,Total Risk-Weighted Assets,,2018-Q4,rbnz-dashboard
Rabo Group,group,Total Non-Performing Loans,258.4,2018-Q4,rbnz-dashboard
Rabo Group,group,NPL Ratio,2,2018-Q4,rbnz-dashboard
Rabo Group,group,Individual Provisions,8.1,2018-Q4,rbnz-dashboard
Rabo Group,group,Collective Provisions,28.8,2018-Q4,rbnz-dashboard
Rabo Group,group,Return on Assets,0.8,2018-Q4,rbnz-dashboard
Rabo Group,group,Return on Equity,6.5,2018-Q4,rbnz-dashboard
Rabo Group,group,NIM,2.3,2018-Q4,rbnz-dashboard
Rabo Group,group,Net Interest Income,89.4,2018-Q4,rbnz-dashboard
Rabo Group,group,Trading and Hedging Gains,-6,2018-Q4,rbnz-dashboard
Rabo Group,group,Fees and Commission Income,0.5,2018-Q4,rbnz-dashboard
Rabo Group,group,Other Income,0,2018-Q4,rbnz-dashboard
Rabo Group,group,Operating Expenses,36.7,2018-Q4,rbnz-dashboard
Rabo Group,group,Profit After Tax,30.2,2018-Q4,rbnz-dashboard
Rabo Group,group,Total Assets,16121.9,2018-Q4,rbnz-dashboard
Rabo Group,group,Cash Position,2375.1,2018-Q4,rbnz-dashboard
Rabo Group,group,Net Loans and Advances,12974.2,2018-Q4,rbnz-dashboard
Rabo Group,group,Deposits,4705.6,2018-Q4,rbnz-dashboard
Rabo Group,group,Equity,1869.2,2018-Q4,rbnz-dashboard
Rabo Group,group,Core Funding Ratio (CFR),,2018-Q4,rbnz-dashboard
Rabo Group,group,1-Month Mismatch Ratio,,2018-Q4,rbnz-dashboard
Rabo Group,group,1-Week Mismatch Ratio,,2018-Q4,rbnz-dashboard
Rabo Group,group,Top 5 Non-Bank Credit Exposures,,2018-Q4,rbnz-dashboard
Rabo Group,group,Top 5 Bank Credit Exposures,,2018-Q4,rbnz-dashboard
Rabo Group,group,Bank Exposures ≥10% of CET1,,2018-Q4,rbnz-dashboard
Rabobank,standalone,Total Capital Ratio,13.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,CET1 Ratio,13.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,Tier 1 Capital Ratio,13.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,Total Risk-Weighted Assets,11805.2,2018-Q4,rbnz-dashboard
Rabobank,standalone,Total Non-Performing Loans,258.4,2018-Q4,rbnz-dashboard
Rabobank,standalone,NPL Ratio,2.4,2018-Q4,rbnz-dashboard
Rabobank,standalone,Individual Provisions,8.1,2018-Q4,rbnz-dashboard
Rabobank,standalone,Collective Provisions,27.6,2018-Q4,rbnz-dashboard
Rabobank,standalone,Return on Assets,0.7,2018-Q4,rbnz-dashboard
Rabobank,standalone,Return on Equity,5,2018-Q4,rbnz-dashboard
Rabobank,standalone,NIM,2.2,2018-Q4,rbnz-dashboard
Rabobank,standalone,Net Interest Income,64.7,2018-Q4,rbnz-dashboard
Rabobank,standalone,Trading and Hedging Gains,0.1,2018-Q4,rbnz-dashboard
Rabobank,standalone,Fees and Commission Income,0.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,Other Income,0,2018-Q4,rbnz-dashboard
Rabobank,standalone,Operating Expenses,34.4,2018-Q4,rbnz-dashboard
Rabobank,standalone,Profit After Tax,19.8,2018-Q4,rbnz-dashboard
Rabobank,standalone,Total Assets,11977.4,2018-Q4,rbnz-dashboard
Rabobank,standalone,Cash Position,692.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,Net Loans and Advances,10608.9,2018-Q4,rbnz-dashboard
Rabobank,standalone,Deposits,4261.8,2018-Q4,rbnz-dashboard
Rabobank,standalone,Equity,1578.7,2018-Q4,rbnz-dashboard
Rabobank,standalone,Core Funding Ratio (CFR),92.1,2018-Q4,rbnz-dashboard
Rabobank,standalone,1-Month Mismatch Ratio,6.2,2018-Q4,rbnz-dashboard
Rabobank,standalone,1-Week Mismatch Ratio,6.2,2018-Q4,rbnz-dashboard
Rabobank,standalone,Top 5 Non-Bank Credit Exposures,20.5,2018-Q4,rbnz-dashboard
Rabobank,standalone,Top 5 Bank Credit Exposures,4.3,2018-Q4,rbnz-dashboard
Rabobank,standalone,Bank Exposures ≥10% of CET1,0,2018-Q4,rbnz-dashboard
SBS,standalone,Total Capital Ratio,14.1,2018-Q4,rbnz-dashboard
SBS,standalone,CET1 Ratio,11.3,2018-Q4,rbnz-dashboard
SBS,standalone,Tier 1 Capital Ratio,11.3,2018-Q4,rbnz-dashboard
SBS,standalone,Total Risk-Weighted Assets,2657.8,2018-Q4,rbnz-dashboard
SBS,standalone,Total Non-Performing Loans,13.7,2018-Q4,rbnz-dashboard
SBS,standalone,NPL Ratio,0.3,2018-Q4,rbnz-dashboard
SBS,standalone,Individual Provisions,1.5,2018-Q4,rbnz-dashboard
SBS,standalone,Collective Provisions,28.4,2018-Q4,rbnz-dashboard
SBS,standalone,Return on Assets,0.7,2018-Q4,rbnz-dashboard
SBS,standalone,Return on Equity,10.3,2018-Q4,rbnz-dashboard
SBS,standalone,NIM,2.5,2018-Q4,rbnz-dashboard
SBS,standalone,Net Interest Income,29.1,2018-Q4,rbnz-dashboard
SBS,standalone,Trading and Hedging Gains,0,2018-Q4,rbnz-dashboard
SBS,standalone,Fees and Commission Income,3.7,2018-Q4,rbnz-dashboard
SBS,standalone,Other Income,6.9,2018-Q4,rbnz-dashboard
SBS,standalone,Operating Expenses,25,2018-Q4,rbnz-dashboard
SBS,standalone,Profit After Tax,8.2,2018-Q4,rbnz-dashboard
SBS,standalone,Total Assets,4660.4,2018-Q4,rbnz-dashboard
SBS,standalone,Cash Position,94.6,2018-Q4,rbnz-dashboard
SBS,standalone,Net Loans and Advances,3932.9,2018-Q4,rbnz-dashboard
SBS,standalone,Deposits,3411,2018-Q4,rbnz-dashboard
SBS,standalone,Equity,321.4,2018-Q4,rbnz-dashboard
SBS,standalone,Core Funding Ratio (CFR),96.2,2018-Q4,rbnz-dashboard
SBS,standalone,1-Month Mismatch Ratio,16.7,2018-Q4,rbnz-dashboard
SBS,standalone,1-Week Mismatch Ratio,11.9,2018-Q4,rbnz-dashboard
SBS,standalone,Top 5 Non-Bank Credit Exposures,43.3,2018-Q4,rbnz-dashboard
SBS,standalone,Top 5 Bank Credit Exposures,118,2018-Q4,rbnz-dashboard
SBS,standalone,Bank Exposures ≥10% of CET1,4,2018-Q4,rbnz-dashboard
TSB,standalone,Total Capital Ratio,14.8,2018-Q4,rbnz-dashboard
TSB,standalone,CET1 Ratio,14.8,2018-Q4,rbnz-dashboard
TSB,standalone,Tier 1 Capital Ratio,14.8,2018-Q4,rbnz-dashboard
TSB,standalone,Total Risk-Weighted Assets,4331.3,2018-Q4,rbnz-dashboard
TSB,standalone,Total Non-Performing Loans,7.6,2018-Q4,rbnz-dashboard
TSB,standalone,NPL Ratio,0.1,2018-Q4,rbnz-dashboard
TSB,standalone,Individual Provisions,0.2,2018-Q4,rbnz-dashboard
TSB,standalone,Collective Provisions,23.5,2018-Q4,rbnz-dashboard
TSB,standalone,Return on Assets,0.7,2018-Q4,rbnz-dashboard
TSB,standalone,Return on Equity,8,2018-Q4,rbnz-dashboard
TSB,standalone,NIM,1.9,2018-Q4,rbnz-dashboard
TSB,standalone,Net Interest Income,35.2,2018-Q4,rbnz-dashboard
TSB,standalone,Trading and Hedging Gains,0.2,2018-Q4,rbnz-dashboard
TSB,standalone,Fees and Commission Income,4.1,2018-Q4,rbnz-dashboard
TSB,standalone,Other Income,1.9,2018-Q4,rbnz-dashboard
TSB,standalone,Operating Expenses,25.1,2018-Q4,rbnz-dashboard
TSB,standalone,Profit After Tax,13,2018-Q4,rbnz-dashboard
TSB,standalone,Total Assets,7733.4,2018-Q4,rbnz-dashboard
TSB,standalone,Cash Position,123.8,2018-Q4,rbnz-dashboard
TSB,standalone,Net Loans and Advances,5660.8,2018-Q4,rbnz-dashboard
TSB,standalone,Deposits,6982.9,2018-Q4,rbnz-dashboard
TSB,standalone,Equity,651.5,2018-Q4,rbnz-dashboard
TSB,standalone,Core Funding Ratio (CFR),123.8,2018-Q4,rbnz-dashboard
TSB,standalone,1-Month Mismatch Ratio,22.1,2018-Q4,rbnz-dashboard
TSB,standalone,1-Week Mismatch Ratio,13.1,2018-Q4,rbnz-dashboard
TSB,standalone,Top 5 Non-Bank Credit Exposures,55.7,2018-Q4,rbnz-dashboard
TSB,standalone,Top 5 Bank Credit Exposures,59,2018-Q4,rbnz-dashboard
TSB,standalone,Bank Exposures ≥10% of CET1,2,2018-Q4,rbnz-dashboard
WBC Group,group,Total Capital Ratio,,2018-Q4,rbnz-dashboard
WBC Group,group,CET1 Ratio,,2018-Q4,rbnz-dashboard
WBC Group,group,Tier 1 Capital Ratio,,2018-Q4,rbnz-dashboard
WBC Group,group,Total Risk-Weighted Assets,,2018-Q4,rbnz-dashboard
WBC Group,group,Total Non-Performing Loans,221.7,2018-Q4,rbnz-dashboard
WBC Group,group,NPL Ratio,0.3,2018-Q4,rbnz-dashboard
WBC Group,group,Individual Provisions,31.1,2018-Q4,rbnz-dashboard
WBC Group,group,Collective Provisions,323.2,2018-Q4,rbnz-dashboard
WBC Group,group,Return on Assets,1.1,2018-Q4,rbnz-dashboard
WBC Group,group,Return on Equity,12.4,2018-Q4,rbnz-dashboard
WBC Group,group,NIM,2.3,2018-Q4,rbnz-dashboard
WBC Group,group,Net Interest Income,520.3,2018-Q4,rbnz-dashboard
WBC Group,group,Trading and Hedging Gains,-0.5,2018-Q4,rbnz-dashboard
WBC Group,group,Fees and Commission Income,98.5,2018-Q4,rbnz-dashboard
WBC Group,group,Other Income,5.8,2018-Q4,rbnz-dashboard
WBC Group,group,Operating Expenses,249,2018-Q4,rbnz-dashboard
WBC Group,group,Profit After Tax,265.6,2018-Q4,rbnz-dashboard
WBC Group,group,Total Assets,98536.5,2018-Q4,rbnz-dashboard
WBC Group,group,Cash Position,2918.2,2018-Q4,rbnz-dashboard
WBC Group,group,Net Loans and Advances,81379.8,2018-Q4,rbnz-dashboard
WBC Group,group,Deposits,63237.7,2018-Q4,rbnz-dashboard
WBC Group,group,Equity,8598.3,2018-Q4,rbnz-dashboard
WBC Group,group,Core Funding Ratio (CFR),,2018-Q4,rbnz-dashboard
WBC Group,group,1-Month Mismatch Ratio,,2018-Q4,rbnz-dashboard
WBC Group,group,1-Week Mismatch Ratio,,2018-Q4,rbnz-dashboard
WBC Group,group,Top 5 Non-Bank Credit Exposures,,2018-Q4,rbnz-dashboard
WBC Group,group,Top 5 Bank Credit Exposures,,2018-Q4,rbnz-dashboard
WBC Group,group,Bank Exposures ≥10% of CET1,,2018-Q4,rbnz-dashboard
Westpac,standalone,Total Capital Ratio,16.9,2018-Q4,rbnz-dashboard
Westpac,standalone,CET1 Ratio,12,2018-Q4,rbnz-dashboard
Westpac,standalone,Tier 1 Capital Ratio,14.8,2018-Q4,rbnz-dashboard
Westpac,standalone,Total Risk-Weighted Assets,53827,2018-Q4,rbnz-dashboard
Westpac,standalone,Total Non-Performing Loans,221.7,2018-Q4,rbnz-dashboard
Westpac,standalone,NPL Ratio,0.3,2018-Q4,rbnz-dashboard
Westpac,standalone,Individual Provisions,31.1,2018-Q4,rbnz-dashboard
Westpac,standalone,Collective Provisions,323.2,2018-Q4,rbnz-dashboard
Westpac,standalone,Return on Assets,1.1,2018-Q4,rbnz-dashboard
Westpac,standalone,Return on Equity,13.1,2018-Q4,rbnz-dashboard
Westpac,standalone,NIM,2.2,2018-Q4,rbnz-dashboard
Westpac,standalone,Net Interest Income,500.6,2018-Q4,rbnz-dashboard
Westpac,standalone,Trading and Hedging Gains,-1.3,2018-Q4,rbnz-dashboard
Westpac,standalone,Fees and Commission Income,75.9,2018-Q4,rbnz-dashboard
Westpac,standalone,Other Income,4,2018-Q4,rbnz-dashboard
Westpac,standalone,Operating Expenses,235.7,2018-Q4,rbnz-dashboard
Westpac,standalone,Profit After Tax,243.4,2018-Q4,rbnz-dashboard
Westpac,standalone,Total Assets,91703.2,2018-Q4,rbnz-dashboard
Westpac,standalone,Cash Position,2902.5,2018-Q4,rbnz-dashboard
Westpac,standalone,Net Loans and Advances,80956.6,2018-Q4,rbnz-dashboard
Westpac,standalone,Deposits,62808,2018-Q4,rbnz-dashboard
Westpac,standalone,Equity,7464.4,2018-Q4,rbnz-dashboard
Westpac,standalone,Core Funding Ratio (CFR),82.3,2018-Q4,rbnz-dashboard
Westpac,standalone,1-Month Mismatch Ratio,-0.8,2018-Q4,rbnz-dashboard
Westpac,standalone,1-Week Mismatch Ratio,-0.7,2018-Q4,rbnz-dashboard
Westpac,standalone,Top 5 Non-Bank Credit Exposures,53.9,2018-Q4,rbnz-dashboard
Westpac,standalone,Top 5 Bank Credit Exposures,14.8,2018-Q4,rbnz-dashboard
Westpac,standalone,Bank Exposures ≥10% of CET1,,2018-Q4,rbnz-dashboard
ANZ,standalone,Total Capital Ratio,14.6,2019-Q1,rbnz-dashboard
ANZ,standalone,CET1 Ratio,11.4,2019-Q1,rbnz-dashboard
ANZ,standalone,Tier 1 Capital Ratio,14.6,2019-Q1,rbnz-dashboard
ANZ,standalone,Total Risk-Weighted Assets,85254.2,2019-Q1,rbnz-dashboard
ANZ,standalone,Total Non-Performing Loans,566.2,2019-Q1,rbnz-dashboard
ANZ,standalone,NPL Ratio,0.4,2019-Q1,rbnz-dashboard
ANZ,standalone,Individual Provisions,111.6,2019-Q1,rbnz-dashboard
ANZ,standalone,Collective Provisions,372.7,2019-Q1,rbnz-dashboard
ANZ,standalone,Return on Assets,1.2,2019-Q1,rbnz-dashboard
ANZ,standalone,Return on Equity,14.4,2019-Q1,rbnz-dashboard
ANZ,standalone,NIM,2.2,2019-Q1,rbnz-dashboard
ANZ,standalone,Net Interest Income,807.9,2019-Q1,rbnz-dashboard
ANZ,standalone,Trading and Hedging Gains,2.9,2019-Q1,rbnz-dashboard
ANZ,standalone,Fees and Commission Income,171.5,2019-Q1,rbnz-dashboard
ANZ,standalone,Other Income,50.4,2019-Q1,rbnz-dashboard
ANZ,standalone,Operating Expenses,359.3,2019-Q1,rbnz-dashboard
ANZ,standalone,Profit After Tax,482,2019-Q1,rbnz-dashboard
ANZ,standalone,Total Assets,163373.8,2019-Q1,rbnz-dashboard
ANZ,standalone,Cash Position,4648.8,2019-Q1,rbnz-dashboard
ANZ,standalone,Net Loans and Advances,130110,2019-Q1,rbnz-dashboard
ANZ,standalone,Deposits,107528,2019-Q1,rbnz-dashboard
ANZ,standalone,Equity,13590.7,2019-Q1,rbnz-dashboard
ANZ,standalone,Core Funding Ratio (CFR),88.8,2019-Q1,rbnz-dashboard
ANZ,standalone,1-Month Mismatch Ratio,4.7,2019-Q1,rbnz-dashboard
ANZ,standalone,1-Week Mismatch Ratio,5.6,2019-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Non-Bank Credit Exposures,52.4,2019-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Bank Credit Exposures,43.8,2019-Q1,rbnz-dashboard
ANZ,standalone,Bank Exposures ≥10% of CET1,3,2019-Q1,rbnz-dashboard
ANZ Group,group,Total Capital Ratio,,2019-Q1,rbnz-dashboard
ANZ Group,group,CET1 Ratio,,2019-Q1,rbnz-dashboard
ANZ Group,group,Tier 1 Capital Ratio,,2019-Q1,rbnz-dashboard
ANZ Group,group,Total Risk-Weighted Assets,,2019-Q1,rbnz-dashboard
ANZ Group,group,Total Non-Performing Loans,580.6,2019-Q1,rbnz-dashboard
ANZ Group,group,NPL Ratio,0.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Individual Provisions,112.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Collective Provisions,374.8,2019-Q1,rbnz-dashboard
ANZ Group,group,Return on Assets,1.2,2019-Q1,rbnz-dashboard
ANZ Group,group,Return on Equity,16.3,2019-Q1,rbnz-dashboard
ANZ Group,group,NIM,2.2,2019-Q1,rbnz-dashboard
ANZ Group,group,Net Interest Income,804.9,2019-Q1,rbnz-dashboard
ANZ Group,group,Trading and Hedging Gains,-5.6,2019-Q1,rbnz-dashboard
ANZ Group,group,Fees and Commission Income,170.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Other Income,50.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Operating Expenses,359.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Profit After Tax,473.2,2019-Q1,rbnz-dashboard
ANZ Group,group,Total Assets,164952.1,2019-Q1,rbnz-dashboard
ANZ Group,group,Cash Position,4648.8,2019-Q1,rbnz-dashboard
ANZ Group,group,Net Loans and Advances,131787.6,2019-Q1,rbnz-dashboard
ANZ Group,group,Deposits,107528,2019-Q1,rbnz-dashboard
ANZ Group,group,Equity,11728.4,2019-Q1,rbnz-dashboard
ANZ Group,group,Core Funding Ratio (CFR),,2019-Q1,rbnz-dashboard
ANZ Group,group,1-Month Mismatch Ratio,,2019-Q1,rbnz-dashboard
ANZ Group,group,1-Week Mismatch Ratio,,2019-Q1,rbnz-dashboard
ANZ Group,group,Top 5 Non-Bank Credit Exposures,,2019-Q1,rbnz-dashboard
ANZ Group,group,Top 5 Bank Credit Exposures,,2019-Q1,rbnz-dashboard
ANZ Group,group,Bank Exposures ≥10% of CET1,,2019-Q1,rbnz-dashboard
ASB,standalone,Total Capital Ratio,14.3,2019-Q1,rbnz-dashboard
ASB,standalone,CET1 Ratio,11,2019-Q1,rbnz-dashboard
ASB,standalone,Tier 1 Capital Ratio,12.8,2019-Q1,rbnz-dashboard
ASB,standalone,Total Risk-Weighted Assets,55564.1,2019-Q1,rbnz-dashboard
ASB,standalone,Total Non-Performing Loans,523.8,2019-Q1,rbnz-dashboard
ASB,standalone,NPL Ratio,0.6,2019-Q1,rbnz-dashboard
ASB,standalone,Individual Provisions,67.7,2019-Q1,rbnz-dashboard
ASB,standalone,Collective Provisions,330.3,2019-Q1,rbnz-dashboard
ASB,standalone,Return on Assets,1.4,2019-Q1,rbnz-dashboard
ASB,standalone,Return on Equity,16.8,2019-Q1,rbnz-dashboard
ASB,standalone,NIM,2.3,2019-Q1,rbnz-dashboard
ASB,standalone,Net Interest Income,539.5,2019-Q1,rbnz-dashboard
ASB,standalone,Trading and Hedging Gains,17.2,2019-Q1,rbnz-dashboard
ASB,standalone,Fees and Commission Income,125.1,2019-Q1,rbnz-dashboard
ASB,standalone,Other Income,48.4,2019-Q1,rbnz-dashboard
ASB,standalone,Operating Expenses,238.1,2019-Q1,rbnz-dashboard
ASB,standalone,Profit After Tax,344.2,2019-Q1,rbnz-dashboard
ASB,standalone,Total Assets,97152.4,2019-Q1,rbnz-dashboard
ASB,standalone,Cash Position,1639.1,2019-Q1,rbnz-dashboard
ASB,standalone,Net Loans and Advances,86496,2019-Q1,rbnz-dashboard
ASB,standalone,Deposits,61633.8,2019-Q1,rbnz-dashboard
ASB,standalone,Equity,8044,2019-Q1,rbnz-dashboard
ASB,standalone,Core Funding Ratio (CFR),86.4,2019-Q1,rbnz-dashboard
ASB,standalone,1-Month Mismatch Ratio,5.4,2019-Q1,rbnz-dashboard
ASB,standalone,1-Week Mismatch Ratio,5.1,2019-Q1,rbnz-dashboard
ASB,standalone,Top 5 Non-Bank Credit Exposures,17.3,2019-Q1,rbnz-dashboard
ASB,standalone,Top 5 Bank Credit Exposures,47.4,2019-Q1,rbnz-dashboard
ASB,standalone,Bank Exposures ≥10% of CET1,2,2019-Q1,rbnz-dashboard
BNZ,standalone,Total Capital Ratio,13.6,2019-Q1,rbnz-dashboard
BNZ,standalone,CET1 Ratio,10.6,2019-Q1,rbnz-dashboard
BNZ,standalone,Tier 1 Capital Ratio,12,2019-Q1,rbnz-dashboard
BNZ,standalone,Total Risk-Weighted Assets,65946.5,2019-Q1,rbnz-dashboard
BNZ,standalone,Total Non-Performing Loans,443.6,2019-Q1,rbnz-dashboard
BNZ,standalone,NPL Ratio,0.5,2019-Q1,rbnz-dashboard
BNZ,standalone,Individual Provisions,106.6,2019-Q1,rbnz-dashboard
BNZ,standalone,Collective Provisions,511.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Return on Assets,1.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Return on Equity,16.1,2019-Q1,rbnz-dashboard
BNZ,standalone,NIM,2.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Net Interest Income,509.7,2019-Q1,rbnz-dashboard
BNZ,standalone,Trading and Hedging Gains,41.4,2019-Q1,rbnz-dashboard
BNZ,standalone,Fees and Commission Income,94.5,2019-Q1,rbnz-dashboard
BNZ,standalone,Other Income,37.4,2019-Q1,rbnz-dashboard
BNZ,standalone,Operating Expenses,243.5,2019-Q1,rbnz-dashboard
BNZ,standalone,Profit After Tax,296.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Total Assets,103757.7,2019-Q1,rbnz-dashboard
BNZ,standalone,Cash Position,2601,2019-Q1,rbnz-dashboard
BNZ,standalone,Net Loans and Advances,85556.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Deposits,63057.7,2019-Q1,rbnz-dashboard
BNZ,standalone,Equity,7621.7,2019-Q1,rbnz-dashboard
BNZ,standalone,Core Funding Ratio (CFR),85.2,2019-Q1,rbnz-dashboard
BNZ,standalone,1-Month Mismatch Ratio,4.6,2019-Q1,rbnz-dashboard
BNZ,standalone,1-Week Mismatch Ratio,4,2019-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Non-Bank Credit Exposures,49.2,2019-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Bank Credit Exposures,40.6,2019-Q1,rbnz-dashboard
BNZ,standalone,Bank Exposures ≥10% of CET1,1,2019-Q1,rbnz-dashboard
BOB,standalone,Total Capital Ratio,72.5,2019-Q1,rbnz-dashboard
BOB,standalone,CET1 Ratio,72.5,2019-Q1,rbnz-dashboard
BOB,standalone,Tier 1 Capital Ratio,72.5,2019-Q1,rbnz-dashboard
BOB,standalone,Total Risk-Weighted Assets,66.1,2019-Q1,rbnz-dashboard
BOB,standalone,Total Non-Performing Loans,,2019-Q1,rbnz-dashboard
BOB,standalone,NPL Ratio,,2019-Q1,rbnz-dashboard
BOB,standalone,Individual Provisions,,2019-Q1,rbnz-dashboard
BOB,standalone,Collective Provisions,0.2,2019-Q1,rbnz-dashboard
BOB,standalone,Return on Assets,0,2019-Q1,rbnz-dashboard
BOB,standalone,Return on Equity,0,2019-Q1,rbnz-dashboard
BOB,standalone,NIM,2.6,2019-Q1,rbnz-dashboard
BOB,standalone,Net Interest Income,0.8,2019-Q1,rbnz-dashboard
BOB,standalone,Trading and Hedging Gains,0.2,2019-Q1,rbnz-dashboard
BOB,standalone,Fees and Commission Income,0.1,2019-Q1,rbnz-dashboard
BOB,standalone,Other Income,0,2019-Q1,rbnz-dashboard
BOB,standalone,Operating Expenses,0.8,2019-Q1,rbnz-dashboard
BOB,standalone,Profit After Tax,0,2019-Q1,rbnz-dashboard
BOB,standalone,Total Assets,125.3,2019-Q1,rbnz-dashboard
BOB,standalone,Cash Position,24,2019-Q1,rbnz-dashboard
BOB,standalone,Net Loans and Advances,100.6,2019-Q1,rbnz-dashboard
BOB,standalone,Deposits,76,2019-Q1,rbnz-dashboard
BOB,standalone,Equity,48.1,2019-Q1,rbnz-dashboard
BOB,standalone,Core Funding Ratio (CFR),126.4,2019-Q1,rbnz-dashboard
BOB,standalone,1-Month Mismatch Ratio,26.7,2019-Q1,rbnz-dashboard
BOB,standalone,1-Week Mismatch Ratio,17.2,2019-Q1,rbnz-dashboard
BOB,standalone,Top 5 Non-Bank Credit Exposures,66.7,2019-Q1,rbnz-dashboard
BOB,standalone,Top 5 Bank Credit Exposures,38.9,2019-Q1,rbnz-dashboard
BOB,standalone,Bank Exposures ≥10% of CET1,2,2019-Q1,rbnz-dashboard
BOC,standalone,Total Capital Ratio,13.8,2019-Q1,rbnz-dashboard
BOC,standalone,CET1 Ratio,13.8,2019-Q1,rbnz-dashboard
BOC,standalone,Tier 1 Capital Ratio,13.8,2019-Q1,rbnz-dashboard
BOC,standalone,Total Risk-Weighted Assets,1547.3,2019-Q1,rbnz-dashboard
BOC,standalone,Total Non-Performing Loans,31.8,2019-Q1,rbnz-dashboard
BOC,standalone,NPL Ratio,1.9,2019-Q1,rbnz-dashboard
BOC,standalone,Individual Provisions,19,2019-Q1,rbnz-dashboard
BOC,standalone,Collective Provisions,4.8,2019-Q1,rbnz-dashboard
BOC,standalone,Return on Assets,1.2,2019-Q1,rbnz-dashboard
BOC,standalone,Return on Equity,11.1,2019-Q1,rbnz-dashboard
BOC,standalone,NIM,1.7,2019-Q1,rbnz-dashboard
BOC,standalone,Net Interest Income,8.7,2019-Q1,rbnz-dashboard
BOC,standalone,Trading and Hedging Gains,0.4,2019-Q1,rbnz-dashboard
BOC,standalone,Fees and Commission Income,2,2019-Q1,rbnz-dashboard
BOC,standalone,Other Income,0,2019-Q1,rbnz-dashboard
BOC,standalone,Operating Expenses,4.2,2019-Q1,rbnz-dashboard
