entity,entity_type,metric,value,period,source
ASB,standalone,Operating Expenses,233.4,2018-Q1,rbnz-dashboard
ASB,standalone,Profit After Tax,275.2,2018-Q1,rbnz-dashboard
ASB,standalone,Total Assets,92450.7,2018-Q1,rbnz-dashboard
ASB,standalone,Cash Position,2239.8,2018-Q1,rbnz-dashboard
ASB,standalone,Net Loans and Advances,81428.8,2018-Q1,rbnz-dashboard
ASB,standalone,Deposits,58694.6,2018-Q1,rbnz-dashboard
ASB,standalone,Equity,7593.5,2018-Q1,rbnz-dashboard
ASB,standalone,Core Funding Ratio (CFR),85.3,2018-Q1,rbnz-dashboard
ASB,standalone,1-Month Mismatch Ratio,5,2018-Q1,rbnz-dashboard
ASB,standalone,1-Week Mismatch Ratio,4.6,2018-Q1,rbnz-dashboard
ASB,standalone,Top 5 Non-Bank Credit Exposures,15,2018-Q1,rbnz-dashboard
ASB,standalone,Top 5 Bank Credit Exposures,56.7,2018-Q1,rbnz-dashboard
ASB,standalone,Bank Exposures ≥10% of CET1,3,2018-Q1,rbnz-dashboard
BNZ,standalone,Total Capital Ratio,13.1,2018-Q1,rbnz-dashboard
BNZ,standalone,CET1 Ratio,10.8,2018-Q1,rbnz-dashboard
BNZ,standalone,Tier 1 Capital Ratio,12.2,2018-Q1,rbnz-dashboard
BNZ,standalone,Total Risk-Weighted Assets,61390.8,2018-Q1,rbnz-dashboard
BNZ,standalone,Total Non-Performing Loans,415.5,2018-Q1,rbnz-dashboard
BNZ,standalone,NPL Ratio,0.5,2018-Q1,rbnz-dashboard
BNZ,standalone,Individual Provisions,111.9,2018-Q1,rbnz-dashboard
BNZ,standalone,Collective Provisions,492.7,2018-Q1,rbnz-dashboard
BNZ,standalone,Return on Assets,0.9,2018-Q1,rbnz-dashboard
BNZ,standalone,Return on Equity,12.4,2018-Q1,rbnz-dashboard
BNZ,standalone,NIM,2.2,2018-Q1,rbnz-dashboard
BNZ,standalone,Net Interest Income,486.7,2018-Q1,rbnz-dashboard
BNZ,standalone,Trading and Hedging Gains,45,2018-Q1,rbnz-dashboard
BNZ,standalone,Fees and Commission Income,106.4,2018-Q1,rbnz-dashboard
BNZ,standalone,Other Income,0.8,2018-Q1,rbnz-dashboard
BNZ,standalone,Operating Expenses,299.3,2018-Q1,rbnz-dashboard
BNZ,standalone,Profit After Tax,215.1,2018-Q1,rbnz-dashboard
BNZ,standalone,Total Assets,97064.7,2018-Q1,rbnz-dashboard
BNZ,standalone,Cash Position,3905.8,2018-Q1,rbnz-dashboard
BNZ,standalone,Net Loans and Advances,80216.4,2018-Q1,rbnz-dashboard
BNZ,standalone,Deposits,61270.9,2018-Q1,rbnz-dashboard
BNZ,standalone,Equity,7113,2018-Q1,rbnz-dashboard
